week,region,meanAbsBeta,maxBeta,maxStd,topCountry,secondCountry,firstMinusSecond,meanAbsBetaChange,maxBetaChange,meanUncertainty,hdiOverlapRate,entropy,entropyReliable,PC1,PC2,cluster,clusterLabel
2018-01-08/2018-01-14,Caucasus and Central Asia,1.4855931982411583,2.4040070824152626,0.127639376254177,Afghanistan,Azerbaijan,0.1226988983444381,0.243046524748103,0.1823695356084536,0.0909722222222222,0.4444444444444444,3.396295704825224,True,-0.8870923904433351,0.3561525472537869,1,Acute crisis / escalation
2018-01-15/2018-01-21,Caucasus and Central Asia,1.477888016274208,2.449681271573217,0.1603845290274614,Afghanistan,Azerbaijan,0.3927423854561445,-0.0077051819669504,0.0456741891579541,0.1173611111111111,0.4444444444444444,3.5357017773054604,True,-0.23809841396349085,0.2731321641219955,3,Calm / steady-ranking
2018-01-22/2018-01-28,Caucasus and Central Asia,1.4846483700744162,2.350285466901988,0.1361285298593908,Afghanistan,Azerbaijan,0.1128254684140803,0.0067603538002081,-0.0993958046712286,0.0873611111111111,0.3888888888888889,2.841212582193089,True,-0.6328566495740382,-0.3793596517148165,3,Calm / steady-ranking
2018-01-29/2018-02-04,Caucasus and Central Asia,1.3669162700823771,2.0684279649036093,0.1228940700152732,Azerbaijan,Afghanistan,0.0507408551336268,-0.117732099992039,-0.2818575019983789,0.0933333333333333,0.3611111111111111,3.116704005166594,True,-0.39587808092089094,-1.0931244408347196,3,Calm / steady-ranking
2018-02-05/2018-02-11,Caucasus and Central Asia,1.376728105183061,2.048889956487227,0.1204569670420969,Afghanistan,Azerbaijan,0.1393127353903811,0.0098118351006841,-0.019538008416382,0.0833333333333333,0.3055555555555556,2.8889722907932454,True,-0.7711482835134964,-0.5812815198706548,3,Calm / steady-ranking
2018-02-12/2018-02-18,Caucasus and Central Asia,1.1623512854175402,1.937797625548684,0.1594656096522848,Azerbaijan,Afghanistan,0.2395457485043954,-0.2143768197655211,-0.1110923309385432,0.1733333333333333,0.5277777777777778,4.070872344303415,True,0.8506578374653176,-0.6202835575494751,0,Contested but quiet
2018-02-19/2018-02-25,Caucasus and Central Asia,1.2211709357290723,2.0596600086659462,0.1506054102929005,Afghanistan,Azerbaijan,0.2096999514813333,0.0588196503115323,0.1218623831172622,0.1470833333333333,0.5,3.577676643295564,True,0.20910953103688565,0.022820391306467947,3,Calm / steady-ranking
2018-02-26/2018-03-04,Caucasus and Central Asia,0.9962447353141752,1.734427752233674,0.1515767897877137,Azerbaijan,Afghanistan,0.089572307141299,-0.2249262004148973,-0.3252322564322722,0.2309722222222222,0.6111111111111112,4.909476345295934,True,1.492270031397124,-1.0766759239337755,0,Contested but quiet
2018-03-05/2018-03-11,Caucasus and Central Asia,1.590368345570016,2.616000181417988,0.115074712957013,Afghanistan,Azerbaijan,0.0920333975089313,0.5941236102558407,0.8815724291843139,0.1075,0.3055555555555556,3.240588727871591,True,-1.9839310280419917,1.6868186561648246,1,Acute crisis / escalation
2018-03-12/2018-03-18,Caucasus and Central Asia,1.5259688623002603,2.375871189378984,0.1354007823507036,Afghanistan,Azerbaijan,0.2648668234336058,-0.0643994832697554,-0.2401289920390037,0.0666666666666666,0.3333333333333333,2.390698759800015,True,-0.7469964332104729,-0.5441250291342337,3,Calm / steady-ranking
2018-03-19/2018-03-25,Caucasus and Central Asia,1.5153745660860598,2.1095330733123787,0.1302634135621506,Afghanistan,Azerbaijan,0.0417856705340558,-0.0105942962142007,-0.2663381160666054,0.1686111111111111,0.3888888888888889,4.4589405403891735,True,-0.3186575136652423,-0.6338502687784918,3,Calm / steady-ranking
2018-03-26/2018-04-01,Caucasus and Central Asia,1.3901719945644937,2.3324678274110173,0.1357984426271783,Afghanistan,Azerbaijan,0.3881214832351125,-0.1252025715215663,0.2229347540986386,0.0804166666666666,0.3611111111111111,2.4087203634741496,True,-0.574493766782525,-0.04109226336525506,3,Calm / steady-ranking
2018-04-02/2018-04-08,Caucasus and Central Asia,1.591977154260962,2.533464188401033,0.1110167800658978,Afghanistan,Azerbaijan,0.2058448749729775,0.2018051596964685,0.2009963609900156,0.0537499999999999,0.2222222222222222,2.142339698996605,True,-1.746267419341753,0.21127776193244266,1,Acute crisis / escalation
2018-04-09/2018-04-15,Caucasus and Central Asia,1.4350447023074075,2.125057128285416,0.1212432112411063,Afghanistan,Azerbaijan,0.3543505052536992,-0.1569324519535544,-0.4084070601156169,0.1230555555555555,0.3888888888888889,3.7604322706975126,True,-0.2191149093175199,-0.8636734181272029,3,Calm / steady-ranking
2018-04-16/2018-04-22,Caucasus and Central Asia,1.0570759115680732,1.8117975960764403,0.1520248214503117,Afghanistan,Azerbaijan,0.2988927872747098,-0.3779687907393343,-0.3132595322089757,0.1854166666666666,0.4722222222222222,3.806107411643709,True,1.1016842702420735,-1.2085687060881718,0,Contested but quiet
2018-04-23/2018-04-29,Caucasus and Central Asia,1.6459387895559636,2.591268331572162,0.1321275438618167,Afghanistan,Azerbaijan,0.6802966555710637,0.5888628779878904,0.7794707354957218,0.0733333333333333,0.3333333333333333,2.4982415763859653,True,-1.8308023090645262,2.202867221294377,1,Acute crisis / escalation
2018-04-30/2018-05-06,Caucasus and Central Asia,1.8252789868454984,2.999837552503444,0.1121166430839656,Afghanistan,Azerbaijan,0.6967911486161502,0.1793401972895347,0.4085692209312821,0.08875,0.25,3.005719277892661,True,-1.957186687904745,1.3212013226498398,1,Acute crisis / escalation
2018-05-07/2018-05-13,Caucasus and Central Asia,1.5227213704210962,2.4713119261859937,0.1244722579513598,Afghanistan,Azerbaijan,0.8497694093127082,-0.3025576164244021,-0.5285256263174505,0.1016666666666666,0.25,3.06493136743207,True,-0.5098073217803539,-0.6614904115602859,3,Calm / steady-ranking
2018-05-14/2018-05-20,Caucasus and Central Asia,1.0775683558532272,2.06152994633498,0.1517538232863794,Afghanistan,Azerbaijan,0.6377040254068045,-0.445153014567869,-0.4097819798510138,0.1591666666666666,0.5,3.834502619963956,True,1.1331591721146492,-0.9895442763722153,0,Contested but quiet
2018-05-21/2018-05-27,Caucasus and Central Asia,1.598381130249437,2.6398279435109044,0.1305789146980658,Afghanistan,Azerbaijan,0.6274364807520207,0.5208127743962099,0.5782979971759246,0.0734722222222222,0.2777777777777778,2.639223611762108,True,-1.782734849176725,1.7628560815715535,1,Acute crisis / escalation
2018-05-28/2018-06-03,Caucasus and Central Asia,1.5349364281221158,2.339241047920249,0.1296927326763095,Afghanistan,Azerbaijan,0.5860916253282653,-0.0634447021273212,-0.3005868955906554,0.1044444444444444,0.2777777777777778,3.062815888466325,True,-0.7119279222800161,-0.2982497112354025,3,Calm / steady-ranking
2018-06-04/2018-06-10,Caucasus and Central Asia,1.7622530937040264,3.0455219073971875,0.0968619810683264,Afghanistan,Uzbekistan,0.8355393046075785,0.2273166655819105,0.7062808594769385,0.0656944444444444,0.0833333333333333,1.9234906476124327,True,-2.5793166282984203,1.6280085697902074,1,Acute crisis / escalation
2018-06-11/2018-06-17,Caucasus and Central Asia,1.4455415280841637,2.3892273112607376,0.13495701065398,Afghanistan,Azerbaijan,0.3454142276776331,-0.3167115656198629,-0.6562945961364499,0.0708333333333333,0.3333333333333333,2.261681582322232,True,-0.25065275818707156,-1.361041458462297,3,Calm / steady-ranking
2018-06-18/2018-06-24,Caucasus and Central Asia,1.2609699786735105,2.0707118109535747,0.1471093362853867,Afghanistan,Azerbaijan,0.4738116543177546,-0.184571549410653,-0.3185155003071629,0.1495833333333333,0.5,3.5386374021417235,True,0.5534309788041805,-0.5723528920735877,3,Calm / steady-ranking
2018-06-25/2018-07-01,Caucasus and Central Asia,1.2729658373881467,2.3894611153523253,0.1593429130341331,Afghanistan,Azerbaijan,0.8279462375632056,0.0119958587146362,0.3187493043987506,0.1529166666666666,0.5,3.906765069152935,True,0.21036096283034422,1.0081420919368105,1,Acute crisis / escalation
2018-07-02/2018-07-08,Caucasus and Central Asia,1.659708941617355,2.424466134247353,0.155617510909022,Afghanistan,Azerbaijan,0.7164324322780193,0.3867431042292082,0.0350050188950277,0.1516666666666666,0.3611111111111111,3.828885879591292,True,-0.8276342199411822,1.271092206314415,1,Acute crisis / escalation
2018-07-09/2018-07-15,Caucasus and Central Asia,1.5328456290850885,2.6956510642176137,0.1639599465764805,Afghanistan,Azerbaijan,0.7991735429075868,-0.1268633125322666,0.2711849299702606,0.1090277777777777,0.4444444444444444,3.5895974158123383,True,-0.2972238212723942,0.8853458094603242,1,Acute crisis / escalation
2018-07-16/2018-07-22,Caucasus and Central Asia,1.604338781045416,2.9209418286645046,0.1415513790392429,Afghanistan,Azerbaijan,0.9433371518400502,0.0714931519603276,0.2252907644468909,0.1026388888888888,0.3333333333333333,3.3675515626235035,True,-0.9959935659349062,1.2405952582419721,1,Acute crisis / escalation
2018-07-23/2018-07-29,Caucasus and Central Asia,1.708916337719582,3.386589058137808,0.1306110663845054,Afghanistan,Azerbaijan,0.8149025322901919,0.104577556674166,0.4656472294733031,0.0901388888888889,0.2777777777777778,2.7962659843842954,True,-1.6308497600239082,1.5865503975412683,1,Acute crisis / escalation
2018-07-30/2018-08-05,Caucasus and Central Asia,1.3726803088347013,2.541407215255912,0.1583744187449844,Afghanistan,Azerbaijan,0.8376952689775117,-0.3362360288848807,-0.8451818428818956,0.1377777777777777,0.3611111111111111,3.822026480256512,True,0.4492661395908607,-0.8540396958741259,3,Calm / steady-ranking
2018-08-06/2018-08-12,Caucasus and Central Asia,1.2354704738925104,2.3095634022058924,0.1625779693297492,Afghanistan,Azerbaijan,0.8258274872852092,-0.1372098349421908,-0.2318438130500197,0.1591666666666666,0.4444444444444444,4.168602120757959,True,0.5499014396604035,0.07786734870781871,3,Calm / steady-ranking
2018-08-13/2018-08-19,Caucasus and Central Asia,1.7381768771796215,2.8117950367226627,0.135534044219756,Afghanistan,Azerbaijan,0.7351964233279262,0.5027064032871111,0.5022316345167703,0.0993055555555555,0.25,3.072865909874776,True,-1.872242856823422,1.953213677464649,1,Acute crisis / escalation
2018-08-20/2018-08-26,Caucasus and Central Asia,0.943412957012898,1.6054817584782837,0.1715523715334531,Afghanistan,Azerbaijan,0.2557697704127899,-0.7947639201667236,-1.206313278244379,0.2715277777777778,0.6944444444444444,4.851077990246476,True,2.907652513129589,-2.6662187412260194,0,Contested but quiet
2018-08-27/2018-09-02,Caucasus and Central Asia,1.7859731370841934,2.9805513260978835,0.1176353979097694,Afghanistan,Azerbaijan,0.6292694345570777,0.8425601800712954,1.3750695676196,0.0993055555555555,0.3055555555555556,2.9741527517456414,True,-2.6432819447446843,3.4333246922809844,1,Acute crisis / escalation
2018-09-03/2018-09-09,Caucasus and Central Asia,1.6466397899477387,2.54455881315556,0.1293095997405022,Afghanistan,Azerbaijan,0.5338101662551349,-0.1393333471364546,-0.4359925129423234,0.0868055555555555,0.3055555555555556,2.7433966187695624,True,-0.7981354186824724,-0.4823972608597022,3,Calm / steady-ranking
2018-09-10/2018-09-16,Caucasus and Central Asia,1.6045869492901,2.3009428638123364,0.1340131668519013,Afghanistan,Azerbaijan,0.1917334169394249,-0.0420528406576388,-0.2436159493432237,0.1115277777777777,0.3333333333333333,3.2175591441415103,True,-0.7186665837935547,-0.5017595457027755,3,Calm / steady-ranking
2018-09-17/2018-09-23,Caucasus and Central Asia,1.586497790658954,2.2740714936606587,0.130475120654672,Afghanistan,Azerbaijan,0.2209594328597703,-0.0180891586311457,-0.0268713701516776,0.1069444444444444,0.3055555555555556,3.190700380475198,True,-0.895145969424831,-0.2554088212335064,3,Calm / steady-ranking
2018-09-24/2018-09-30,Caucasus and Central Asia,1.5145024992505574,2.0274311284378523,0.1266740053879614,Afghanistan,Azerbaijan,0.1573045322100879,-0.0719952914083967,-0.2466403652228064,0.1226388888888889,0.3611111111111111,3.6016737364348788,True,-0.4814586498084091,-0.7437851683683996,3,Calm / steady-ranking
2018-10-01/2018-10-07,Caucasus and Central Asia,1.6836465678405852,2.6125565789198872,0.1174970468202811,Afghanistan,Azerbaijan,0.5118706874775323,0.1691440685900278,0.5851254504820349,0.0856944444444444,0.2222222222222222,2.7424869330294683,True,-1.8053234425485014,1.0676849711054242,1,Acute crisis / escalation
2018-10-08/2018-10-14,Caucasus and Central Asia,1.0912337956024276,2.2133091242076453,0.1544719747102747,Afghanistan,Azerbaijan,1.004315391678979,-0.5924127722381576,-0.399247454712242,0.18625,0.4166666666666667,4.217750180247164,True,1.1877974246923766,-0.771964832400618,0,Contested but quiet
2018-10-15/2018-10-21,Caucasus and Central Asia,1.266378798077543,2.2741852626013337,0.1449752209414421,Afghanistan,Azerbaijan,0.6215499449000721,0.1751450024751153,0.0608761383936884,0.1313888888888889,0.3888888888888889,3.419243729731921,True,-0.23675390261581356,0.5325500280820246,1,Acute crisis / escalation
2018-10-22/2018-10-28,Caucasus and Central Asia,1.021085835667343,2.013514983800234,0.1648475057805968,Afghanistan,Azerbaijan,0.7521562587818089,-0.2452929624102,-0.2606702788010997,0.2041666666666666,0.5277777777777778,4.475842232613284,True,1.328156793332045,-0.29405985873679785,0,Contested but quiet
2018-10-29/2018-11-04,Caucasus and Central Asia,1.0674841970301936,2.057206032007498,0.1594926011830008,Afghanistan,Azerbaijan,0.6536918339361752,0.0463983613628506,0.0436910482072638,0.1679166666666666,0.5,4.004734304054815,True,0.6600131758275866,0.34548472909455286,3,Calm / steady-ranking
2018-11-05/2018-11-11,Caucasus and Central Asia,1.3196545227067735,2.581750177182615,0.1277997400568611,Afghanistan,Azerbaijan,0.6782303932213596,0.2521703256765799,0.5245441451751169,0.0598611111111111,0.25,2.4419371687390883,True,-1.2923572497148808,1.096208407205404,1,Acute crisis / escalation
2018-11-12/2018-11-18,Caucasus and Central Asia,1.1683487336813867,2.2778825514433607,0.185747580503287,Afghanistan,Azerbaijan,0.6859429217575672,-0.1513057890253868,-0.3038676257392541,0.1909722222222222,0.5555555555555556,4.542370406737824,True,1.1903637736465742,0.015701832662132455,0,Contested but quiet
2018-11-19/2018-11-25,Caucasus and Central Asia,1.0951641656413256,2.1719413100582154,0.1666642785797941,Afghanistan,Azerbaijan,0.8881164734600486,-0.0731845680400611,-0.1059412413851452,0.1644444444444444,0.5,4.04788356025107,True,0.8376146792416252,0.31232246349257303,0,Contested but quiet
2018-11-26/2018-12-02,Caucasus and Central Asia,1.5501993977835022,2.8574418382971567,0.1269421003063349,Afghanistan,Azerbaijan,0.9202818279406384,0.4550352321421766,0.6855005282389413,0.1145833333333333,0.2777777777777778,3.638405390617252,True,-1.606330868181754,2.199197344033226,1,Acute crisis / escalation
