week,region,country,betaMean,betaStd
2018-01-01/2018-01-07,Middle East,Bahrain,0.21784162471316101,0.1019072473405154
2018-01-01/2018-01-07,Middle East,Iran,1.1652050606256816,0.07663330893346085
2018-01-01/2018-01-07,Middle East,Iraq,-0.02064627648106051,0.10099035779491253
2018-01-01/2018-01-07,Middle East,Israel,-1.9240967188789864,0.17664134500653
2018-01-01/2018-01-07,Middle East,Jordan,-1.898124095034254,0.18780333461493307
2018-01-01/2018-01-07,Middle East,Kuwait,0.5810551451974363,0.36041988492554944
2018-01-01/2018-01-07,Middle East,Lebanon,-1.6438851150011269,0.16142693865608604
2018-01-01/2018-01-07,Middle East,Palestine,0.6060124425663037,0.09461357611431039
2018-01-01/2018-01-07,Middle East,Qatar,0.5655177598238853,0.37156270140048386
2018-01-01/2018-01-07,Middle East,Saudi Arabia,-0.9634349828005189,0.13786611027545143
2018-01-01/2018-01-07,Middle East,Syria,2.4710361269764958,0.07827147004227715
2018-01-01/2018-01-07,Middle East,Turkey,-0.36649534265233896,0.11959641905450291
2018-01-01/2018-01-07,Middle East,Yemen,1.2100143709453217,0.1732688222932771
2018-01-08/2018-01-14,Middle East,Bahrain,-0.4475568330999719,0.07979864582224529
2018-01-08/2018-01-14,Middle East,Iran,0.025436423217843774,0.07019605044943138
2018-01-08/2018-01-14,Middle East,Iraq,0.34336544323480445,0.06386005437169007
2018-01-08/2018-01-14,Middle East,Israel,-1.6754189510584743,0.11352488922038872
2018-01-08/2018-01-14,Middle East,Jordan,-1.772842668215867,0.11294935947109543
2018-01-08/2018-01-14,Middle East,Kuwait,0.80916151014118,0.25316172115861396
2018-01-08/2018-01-14,Middle East,Lebanon,-1.5869055368311558,0.10971731291882249
2018-01-08/2018-01-14,Middle East,Palestine,1.059099387138902,0.05444153701351825
2018-01-08/2018-01-14,Middle East,Qatar,0.7810740558633563,0.2407888358048515
2018-01-08/2018-01-14,Middle East,Saudi Arabia,-1.0355245989576578,0.09255486789022517
2018-01-08/2018-01-14,Middle East,Syria,2.5322683625246283,0.0568884457851615
2018-01-08/2018-01-14,Middle East,Turkey,-0.3298926460030352,0.077417031663539
2018-01-08/2018-01-14,Middle East,Yemen,1.2977360520454468,0.12094709634807241
2018-01-15/2018-01-21,Middle East,Bahrain,-0.006730689239550932,0.06854807698554281
2018-01-15/2018-01-21,Middle East,Iran,-0.25887495682024664,0.07460202395159156
2018-01-15/2018-01-21,Middle East,Iraq,0.05473459094214535,0.06797652168452102
2018-01-15/2018-01-21,Middle East,Israel,-1.2037836936761719,0.09138449146886388
2018-01-15/2018-01-21,Middle East,Jordan,-1.9414743471100269,0.11891348089705196
2018-01-15/2018-01-21,Middle East,Kuwait,0.7472280077871456,0.24569032083782405
2018-01-15/2018-01-21,Middle East,Lebanon,-1.818097718128894,0.10516136942175376
2018-01-15/2018-01-21,Middle East,Palestine,0.6062628913294522,0.05453239966312499
2018-01-15/2018-01-21,Middle East,Qatar,0.7726046762914659,0.24637310132142204
2018-01-15/2018-01-21,Middle East,Saudi Arabia,-0.7439950427500619,0.07887357919696306
2018-01-15/2018-01-21,Middle East,Syria,2.543516523387908,0.05316771439977426
2018-01-15/2018-01-21,Middle East,Turkey,-0.13395561809831777,0.06963117817811214
2018-01-15/2018-01-21,Middle East,Yemen,1.3825653760851557,0.11635963879827312
2018-01-22/2018-01-28,Middle East,Bahrain,-0.3440712883022134,0.0777613076704228
2018-01-22/2018-01-28,Middle East,Iran,0.4570899792552712,0.06076298948287814
2018-01-22/2018-01-28,Middle East,Iraq,0.3146394940990957,0.0635765582564685
2018-01-22/2018-01-28,Middle East,Israel,-1.84035105380591,0.11021281712565172
2018-01-22/2018-01-28,Middle East,Jordan,-1.4016968014992042,0.09856286615478475
