week,region,entropy,countryI,countryJ,flipProbability,hdiOverlap
2018-01-01/2018-01-07,Caucasus and Central Asia,4.175929579472646,Afghanistan,Armenia,1.0,False
2018-01-01/2018-01-07,Caucasus and Central Asia,4.175929579472646,Afghanistan,Azerbaijan,0.58,True
2018-01-01/2018-01-07,Caucasus and Central Asia,4.175929579472646,Afghanistan,Georgia,1.0,False
2018-01-01/2018-01-07,Caucasus and Central Asia,4.175929579472646,Afghanistan,Kazakhstan,1.0,False
2018-01-01/2018-01-07,Caucasus and Central Asia,4.175929579472646,Afghanistan,Kyrgyzstan,1.0,False
2018-01-01/2018-01-07,Caucasus and Central Asia,4.175929579472646,Afghanistan,Tajikistan,0.975,True
2018-01-01/2018-01-07,Caucasus and Central Asia,4.175929579472646,Afghanistan,Turkmenistan,0.96,True
2018-01-01/2018-01-07,Caucasus and Central Asia,4.175929579472646,Afghanistan,Uzbekistan,1.0,False
2018-01-01/2018-01-07,Caucasus and Central Asia,4.175929579472646,Armenia,Azerbaijan,0.0,False
2018-01-01/2018-01-07,Caucasus and Central Asia,4.175929579472646,Armenia,Georgia,0.34,True
2018-01-01/2018-01-07,Caucasus and Central Asia,4.175929579472646,Armenia,Kazakhstan,0.9775,True
2018-01-01/2018-01-07,Caucasus and Central Asia,4.175929579472646,Armenia,Kyrgyzstan,1.0,False
2018-01-01/2018-01-07,Caucasus and Central Asia,4.175929579472646,Armenia,Tajikistan,0.165,True
2018-01-01/2018-01-07,Caucasus and Central Asia,4.175929579472646,Armenia,Turkmenistan,0.1475,True
2018-01-01/2018-01-07,Caucasus and Central Asia,4.175929579472646,Armenia,Uzbekistan,1.0,False
2018-01-01/2018-01-07,Caucasus and Central Asia,4.175929579472646,Azerbaijan,Georgia,1.0,False
2018-01-01/2018-01-07,Caucasus and Central Asia,4.175929579472646,Azerbaijan,Kazakhstan,1.0,False
2018-01-01/2018-01-07,Caucasus and Central Asia,4.175929579472646,Azerbaijan,Kyrgyzstan,1.0,False
2018-01-01/2018-01-07,Caucasus and Central Asia,4.175929579472646,Azerbaijan,Tajikistan,0.97,True
2018-01-01/2018-01-07,Caucasus and Central Asia,4.175929579472646,Azerbaijan,Turkmenistan,0.96,True
2018-01-01/2018-01-07,Caucasus and Central Asia,4.175929579472646,Azerbaijan,Uzbekistan,1.0,False
2018-01-01/2018-01-07,Caucasus and Central Asia,4.175929579472646,Georgia,Kazakhstan,0.9925,True
2018-01-01/2018-01-07,Caucasus and Central Asia,4.175929579472646,Georgia,Kyrgyzstan,1.0,False
2018-01-01/2018-01-07,Caucasus and Central Asia,4.175929579472646,Georgia,Tajikistan,0.21,True
2018-01-01/2018-01-07,Caucasus and Central Asia,4.175929579472646,Georgia,Turkmenistan,0.185,True
2018-01-01/2018-01-07,Caucasus and Central Asia,4.175929579472646,Georgia,Uzbekistan,1.0,False
2018-01-01/2018-01-07,Caucasus and Central Asia,4.175929579472646,Kazakhstan,Kyrgyzstan,0.9675,True
2018-01-01/2018-01-07,Caucasus and Central Asia,4.175929579472646,Kazakhstan,Tajikistan,0.025,True
2018-01-01/2018-01-07,Caucasus and Central Asia,4.175929579472646,Kazakhstan,Turkmenistan,0.045,True
2018-01-01/2018-01-07,Caucasus and Central Asia,4.175929579472646,Kazakhstan,Uzbekistan,0.9575,True
2018-01-01/2018-01-07,Caucasus and Central Asia,4.175929579472646,Kyrgyzstan,Tajikistan,0.0075,False
2018-01-01/2018-01-07,Caucasus and Central Asia,4.175929579472646,Kyrgyzstan,Turkmenistan,0.01,False
2018-01-01/2018-01-07,Caucasus and Central Asia,4.175929579472646,Kyrgyzstan,Uzbekistan,0.42,True
2018-01-01/2018-01-07,Caucasus and Central Asia,4.175929579472646,Tajikistan,Turkmenistan,0.5025,True
2018-01-01/2018-01-07,Caucasus and Central Asia,4.175929579472646,Tajikistan,Uzbekistan,0.9875,False
2018-01-01/2018-01-07,Caucasus and Central Asia,4.175929579472646,Turkmenistan,Uzbekistan,0.99,False
2018-01-08/2018-01-14,Caucasus and Central Asia,3.396295704825224,Afghanistan,Armenia,1.0,False
2018-01-08/2018-01-14,Caucasus and Central Asia,3.396295704825224,Afghanistan,Azerbaijan,0.82,True
2018-01-08/2018-01-14,Caucasus and Central Asia,3.396295704825224,Afghanistan,Georgia,1.0,False
2018-01-08/2018-01-14,Caucasus and Central Asia,3.396295704825224,Afghanistan,Kazakhstan,1.0,False
2018-01-08/2018-01-14,Caucasus and Central Asia,3.396295704825224,Afghanistan,Kyrgyzstan,1.0,False
2018-01-08/2018-01-14,Caucasus and Central Asia,3.396295704825224,Afghanistan,Tajikistan,1.0,False
2018-01-08/2018-01-14,Caucasus and Central Asia,3.396295704825224,Afghanistan,Turkmenistan,0.97,False
2018-01-08/2018-01-14,Caucasus and Central Asia,3.396295704825224,Afghanistan,Uzbekistan,0.985,True
2018-01-08/2018-01-14,Caucasus and Central Asia,3.396295704825224,Armenia,Azerbaijan,0.0,False
2018-01-08/2018-01-14,Caucasus and Central Asia,3.396295704825224,Armenia,Georgia,0.985,True
2018-01-08/2018-01-14,Caucasus and Central Asia,3.396295704825224,Armenia,Kazakhstan,1.0,False
2018-01-08/2018-01-14,Caucasus and Central Asia,3.396295704825224,Armenia,Kyrgyzstan,1.0,False
2018-01-08/2018-01-14,Caucasus and Central Asia,3.396295704825224,Armenia,Tajikistan,1.0,False
2018-01-08/2018-01-14,Caucasus and Central Asia,3.396295704825224,Armenia,Turkmenistan,0.2375,True
2018-01-08/2018-01-14,Caucasus and Central Asia,3.396295704825224,Armenia,Uzbekistan,0.0,False
2018-01-08/2018-01-14,Caucasus and Central Asia,3.396295704825224,Azerbaijan,Georgia,1.0,False
2018-01-08/2018-01-14,Caucasus and Central Asia,3.396295704825224,Azerbaijan,Kazakhstan,1.0,False
2018-01-08/2018-01-14,Caucasus and Central Asia,3.396295704825224,Azerbaijan,Kyrgyzstan,1.0,False
2018-01-08/2018-01-14,Caucasus and Central Asia,3.396295704825224,Azerbaijan,Tajikistan,1.0,False
2018-01-08/2018-01-14,Caucasus and Central Asia,3.396295704825224,Azerbaijan,Turkmenistan,0.96,True
2018-01-08/2018-01-14,Caucasus and Central Asia,3.396295704825224,Azerbaijan,Uzbekistan,0.9625,True
2018-01-08/2018-01-14,Caucasus and Central Asia,3.396295704825224,Georgia,Kazakhstan,0.9175,True
2018-01-08/2018-01-14,Caucasus and Central Asia,3.396295704825224,Georgia,Kyrgyzstan,0.985,True
2018-01-08/2018-01-14,Caucasus and Central Asia,3.396295704825224,Georgia,Tajikistan,0.995,False
2018-01-08/2018-01-14,Caucasus and Central Asia,3.396295704825224,Georgia,Turkmenistan,0.0875,True
2018-01-08/2018-01-14,Caucasus and Central Asia,3.396295704825224,Georgia,Uzbekistan,0.0,False
2018-01-08/2018-01-14,Caucasus and Central Asia,3.396295704825224,Kazakhstan,Kyrgyzstan,0.7,True
2018-01-08/2018-01-14,Caucasus and Central Asia,3.396295704825224,Kazakhstan,Tajikistan,0.915,True
2018-01-08/2018-01-14,Caucasus and Central Asia,3.396295704825224,Kazakhstan,Turkmenistan,0.05,True
2018-01-08/2018-01-14,Caucasus and Central Asia,3.396295704825224,Kazakhstan,Uzbekistan,0.0,False
2018-01-08/2018-01-14,Caucasus and Central Asia,3.396295704825224,Kyrgyzstan,Tajikistan,0.7825,True
2018-01-08/2018-01-14,Caucasus and Central Asia,3.396295704825224,Kyrgyzstan,Turkmenistan,0.0425,True
2018-01-08/2018-01-14,Caucasus and Central Asia,3.396295704825224,Kyrgyzstan,Uzbekistan,0.0,False
2018-01-08/2018-01-14,Caucasus and Central Asia,3.396295704825224,Tajikistan,Turkmenistan,0.0275,True
2018-01-08/2018-01-14,Caucasus and Central Asia,3.396295704825224,Tajikistan,Uzbekistan,0.0,False
2018-01-08/2018-01-14,Caucasus and Central Asia,3.396295704825224,Turkmenistan,Uzbekistan,0.17,True
2018-01-15/2018-01-21,Caucasus and Central Asia,3.5357017773054604,Afghanistan,Armenia,1.0,False
2018-01-15/2018-01-21,Caucasus and Central Asia,3.5357017773054604,Afghanistan,Azerbaijan,0.9975,True
2018-01-15/2018-01-21,Caucasus and Central Asia,3.5357017773054604,Afghanistan,Georgia,1.0,False
2018-01-15/2018-01-21,Caucasus and Central Asia,3.5357017773054604,Afghanistan,Kazakhstan,1.0,False
2018-01-15/2018-01-21,Caucasus and Central Asia,3.5357017773054604,Afghanistan,Kyrgyzstan,1.0,False
2018-01-15/2018-01-21,Caucasus and Central Asia,3.5357017773054604,Afghanistan,Tajikistan,0.9725,True
2018-01-15/2018-01-21,Caucasus and Central Asia,3.5357017773054604,Afghanistan,Turkmenistan,0.96,True
2018-01-15/2018-01-21,Caucasus and Central Asia,3.5357017773054604,Afghanistan,Uzbekistan,0.9925,True
2018-01-15/2018-01-21,Caucasus and Central Asia,3.5357017773054604,Armenia,Azerbaijan,0.0,False
2018-01-15/2018-01-21,Caucasus and Central Asia,3.5357017773054604,Armenia,Georgia,1.0,False
2018-01-15/2018-01-21,Caucasus and Central Asia,3.5357017773054604,Armenia,Kazakhstan,1.0,False
2018-01-15/2018-01-21,Caucasus and Central Asia,3.5357017773054604,Armenia,Kyrgyzstan,1.0,False
2018-01-15/2018-01-21,Caucasus and Central Asia,3.5357017773054604,Armenia,Tajikistan,0.27,True
2018-01-15/2018-01-21,Caucasus and Central Asia,3.5357017773054604,Armenia,Turkmenistan,0.3325,True
2018-01-15/2018-01-21,Caucasus and Central Asia,3.5357017773054604,Armenia,Uzbekistan,0.0,False
2018-01-15/2018-01-21,Caucasus and Central Asia,3.5357017773054604,Azerbaijan,Georgia,1.0,False
2018-01-15/2018-01-21,Caucasus and Central Asia,3.5357017773054604,Azerbaijan,Kazakhstan,1.0,False
2018-01-15/2018-01-21,Caucasus and Central Asia,3.5357017773054604,Azerbaijan,Kyrgyzstan,1.0,False
2018-01-15/2018-01-21,Caucasus and Central Asia,3.5357017773054604,Azerbaijan,Tajikistan,0.9375,True
2018-01-15/2018-01-21,Caucasus and Central Asia,3.5357017773054604,Azerbaijan,Turkmenistan,0.9225,True
2018-01-15/2018-01-21,Caucasus and Central Asia,3.5357017773054604,Azerbaijan,Uzbekistan,0.9425,True
2018-01-15/2018-01-21,Caucasus and Central Asia,3.5357017773054604,Georgia,Kazakhstan,0.9875,True
2018-01-15/2018-01-21,Caucasus and Central Asia,3.5357017773054604,Georgia,Kyrgyzstan,0.9975,False
2018-01-15/2018-01-21,Caucasus and Central Asia,3.5357017773054604,Georgia,Tajikistan,0.055,True
2018-01-15/2018-01-21,Caucasus and Central Asia,3.5357017773054604,Georgia,Turkmenistan,0.055,True
2018-01-15/2018-01-21,Caucasus and Central Asia,3.5357017773054604,Georgia,Uzbekistan,0.0,False
2018-01-15/2018-01-21,Caucasus and Central Asia,3.5357017773054604,Kazakhstan,Kyrgyzstan,0.84,True
2018-01-15/2018-01-21,Caucasus and Central Asia,3.5357017773054604,Kazakhstan,Tajikistan,0.01,False
2018-01-15/2018-01-21,Caucasus and Central Asia,3.5357017773054604,Kazakhstan,Turkmenistan,0.0,False
2018-01-15/2018-01-21,Caucasus and Central Asia,3.5357017773054604,Kazakhstan,Uzbekistan,0.0,False
2018-01-15/2018-01-21,Caucasus and Central Asia,3.5357017773054604,Kyrgyzstan,Tajikistan,0.0,False
2018-01-15/2018-01-21,Caucasus and Central Asia,3.5357017773054604,Kyrgyzstan,Turkmenistan,0.0,False
2018-01-15/2018-01-21,Caucasus and Central Asia,3.5357017773054604,Kyrgyzstan,Uzbekistan,0.0,False
2018-01-15/2018-01-21,Caucasus and Central Asia,3.5357017773054604,Tajikistan,Turkmenistan,0.49,True
2018-01-15/2018-01-21,Caucasus and Central Asia,3.5357017773054604,Tajikistan,Uzbekistan,0.225,True
2018-01-15/2018-01-21,Caucasus and Central Asia,3.5357017773054604,Turkmenistan,Uzbekistan,0.225,True
