week,region,entropy,countryI,countryJ,flipProbability,hdiOverlap
2018-01-01/2018-01-07,Middle East,4.7743224409970555,Bahrain,Iran,0.0,False
2018-01-01/2018-01-07,Middle East,4.7743224409970555,Bahrain,Iraq,0.9725,True
2018-01-01/2018-01-07,Middle East,4.7743224409970555,Bahrain,Israel,1.0,False
2018-01-01/2018-01-07,Middle East,4.7743224409970555,Bahrain,Jordan,1.0,False
2018-01-01/2018-01-07,Middle East,4.7743224409970555,Bahrain,Kuwait,0.19,True
2018-01-01/2018-01-07,Middle East,4.7743224409970555,Bahrain,Lebanon,1.0,False
2018-01-01/2018-01-07,Middle East,4.7743224409970555,Bahrain,Palestine,0.0,False
2018-01-01/2018-01-07,Middle East,4.7743224409970555,Bahrain,Qatar,0.2025,True
2018-01-01/2018-01-07,Middle East,4.7743224409970555,Bahrain,Saudi Arabia,1.0,False
2018-01-01/2018-01-07,Middle East,4.7743224409970555,Bahrain,Syria,0.0,False
2018-01-01/2018-01-07,Middle East,4.7743224409970555,Bahrain,Turkey,1.0,False
2018-01-01/2018-01-07,Middle East,4.7743224409970555,Bahrain,Yemen,0.0,False
2018-01-01/2018-01-07,Middle East,4.7743224409970555,Iran,Iraq,1.0,False
2018-01-01/2018-01-07,Middle East,4.7743224409970555,Iran,Israel,1.0,False
2018-01-01/2018-01-07,Middle East,4.7743224409970555,Iran,Jordan,1.0,False
2018-01-01/2018-01-07,Middle East,4.7743224409970555,Iran,Kuwait,0.95,True
2018-01-01/2018-01-07,Middle East,4.7743224409970555,Iran,Lebanon,1.0,False
2018-01-01/2018-01-07,Middle East,4.7743224409970555,Iran,Palestine,1.0,False
2018-01-01/2018-01-07,Middle East,4.7743224409970555,Iran,Qatar,0.93,True
2018-01-01/2018-01-07,Middle East,4.7743224409970555,Iran,Saudi Arabia,1.0,False
2018-01-01/2018-01-07,Middle East,4.7743224409970555,Iran,Syria,0.0,False
2018-01-01/2018-01-07,Middle East,4.7743224409970555,Iran,Turkey,1.0,False
2018-01-01/2018-01-07,Middle East,4.7743224409970555,Iran,Yemen,0.41,True
2018-01-01/2018-01-07,Middle East,4.7743224409970555,Iraq,Israel,1.0,False
2018-01-01/2018-01-07,Middle East,4.7743224409970555,Iraq,Jordan,1.0,False
2018-01-01/2018-01-07,Middle East,4.7743224409970555,Iraq,Kuwait,0.0525,True
2018-01-01/2018-01-07,Middle East,4.7743224409970555,Iraq,Lebanon,1.0,False
2018-01-01/2018-01-07,Middle East,4.7743224409970555,Iraq,Palestine,0.0,False
2018-01-01/2018-01-07,Middle East,4.7743224409970555,Iraq,Qatar,0.04,True
2018-01-01/2018-01-07,Middle East,4.7743224409970555,Iraq,Saudi Arabia,1.0,False
2018-01-01/2018-01-07,Middle East,4.7743224409970555,Iraq,Syria,0.0,False
2018-01-01/2018-01-07,Middle East,4.7743224409970555,Iraq,Turkey,0.985,True
2018-01-01/2018-01-07,Middle East,4.7743224409970555,Iraq,Yemen,0.0,False
2018-01-01/2018-01-07,Middle East,4.7743224409970555,Israel,Jordan,0.525,True
2018-01-01/2018-01-07,Middle East,4.7743224409970555,Israel,Kuwait,0.0,False
2018-01-01/2018-01-07,Middle East,4.7743224409970555,Israel,Lebanon,0.1625,True
2018-01-01/2018-01-07,Middle East,4.7743224409970555,Israel,Palestine,0.0,False
2018-01-01/2018-01-07,Middle East,4.7743224409970555,Israel,Qatar,0.0,False
2018-01-01/2018-01-07,Middle East,4.7743224409970555,Israel,Saudi Arabia,0.0,False
2018-01-01/2018-01-07,Middle East,4.7743224409970555,Israel,Syria,0.0,False
2018-01-01/2018-01-07,Middle East,4.7743224409970555,Israel,Turkey,0.0,False
2018-01-01/2018-01-07,Middle East,4.7743224409970555,Israel,Yemen,0.0,False
2018-01-01/2018-01-07,Middle East,4.7743224409970555,Jordan,Kuwait,0.0,False
2018-01-01/2018-01-07,Middle East,4.7743224409970555,Jordan,Lebanon,0.16,True
2018-01-01/2018-01-07,Middle East,4.7743224409970555,Jordan,Palestine,0.0,False
2018-01-01/2018-01-07,Middle East,4.7743224409970555,Jordan,Qatar,0.0,False
2018-01-01/2018-01-07,Middle East,4.7743224409970555,Jordan,Saudi Arabia,0.0,False
2018-01-01/2018-01-07,Middle East,4.7743224409970555,Jordan,Syria,0.0,False
2018-01-01/2018-01-07,Middle East,4.7743224409970555,Jordan,Turkey,0.0,False
2018-01-01/2018-01-07,Middle East,4.7743224409970555,Jordan,Yemen,0.0,False
2018-01-01/2018-01-07,Middle East,4.7743224409970555,Kuwait,Lebanon,1.0,False
2018-01-01/2018-01-07,Middle East,4.7743224409970555,Kuwait,Palestine,0.4425,True
2018-01-01/2018-01-07,Middle East,4.7743224409970555,Kuwait,Qatar,0.4925,True
2018-01-01/2018-01-07,Middle East,4.7743224409970555,Kuwait,Saudi Arabia,1.0,False
2018-01-01/2018-01-07,Middle East,4.7743224409970555,Kuwait,Syria,0.0,False
2018-01-01/2018-01-07,Middle East,4.7743224409970555,Kuwait,Turkey,0.99,True
2018-01-01/2018-01-07,Middle East,4.7743224409970555,Kuwait,Yemen,0.0725,True
2018-01-01/2018-01-07,Middle East,4.7743224409970555,Lebanon,Palestine,0.0,False
2018-01-01/2018-01-07,Middle East,4.7743224409970555,Lebanon,Qatar,0.0,False
2018-01-01/2018-01-07,Middle East,4.7743224409970555,Lebanon,Saudi Arabia,0.0,False
2018-01-01/2018-01-07,Middle East,4.7743224409970555,Lebanon,Syria,0.0,False
2018-01-01/2018-01-07,Middle East,4.7743224409970555,Lebanon,Turkey,0.0,False
2018-01-01/2018-01-07,Middle East,4.7743224409970555,Lebanon,Yemen,0.0,False
2018-01-01/2018-01-07,Middle East,4.7743224409970555,Palestine,Qatar,0.545,True
2018-01-01/2018-01-07,Middle East,4.7743224409970555,Palestine,Saudi Arabia,1.0,False
2018-01-01/2018-01-07,Middle East,4.7743224409970555,Palestine,Syria,0.0,False
2018-01-01/2018-01-07,Middle East,4.7743224409970555,Palestine,Turkey,1.0,False
2018-01-01/2018-01-07,Middle East,4.7743224409970555,Palestine,Yemen,0.0025,False
2018-01-01/2018-01-07,Middle East,4.7743224409970555,Qatar,Saudi Arabia,1.0,False
2018-01-01/2018-01-07,Middle East,4.7743224409970555,Qatar,Syria,0.0,False
2018-01-01/2018-01-07,Middle East,4.7743224409970555,Qatar,Turkey,0.9975,False
2018-01-01/2018-01-07,Middle East,4.7743224409970555,Qatar,Yemen,0.1,True
2018-01-01/2018-01-07,Middle East,4.7743224409970555,Saudi Arabia,Syria,0.0,False
2018-01-01/2018-01-07,Middle East,4.7743224409970555,Saudi Arabia,Turkey,0.0,False
2018-01-01/2018-01-07,Middle East,4.7743224409970555,Saudi Arabia,Yemen,0.0,False
2018-01-01/2018-01-07,Middle East,4.7743224409970555,Syria,Turkey,1.0,False
2018-01-01/2018-01-07,Middle East,4.7743224409970555,Syria,Yemen,1.0,False
2018-01-01/2018-01-07,Middle East,4.7743224409970555,Turkey,Yemen,0.0,False
2018-01-08/2018-01-14,Middle East,3.454239684537971,Bahrain,Iran,0.0,False
2018-01-08/2018-01-14,Middle East,3.454239684537971,Bahrain,Iraq,0.0,False
2018-01-08/2018-01-14,Middle East,3.454239684537971,Bahrain,Israel,1.0,False
2018-01-08/2018-01-14,Middle East,3.454239684537971,Bahrain,Jordan,1.0,False
2018-01-08/2018-01-14,Middle East,3.454239684537971,Bahrain,Kuwait,0.0,False
2018-01-08/2018-01-14,Middle East,3.454239684537971,Bahrain,Lebanon,1.0,False
2018-01-08/2018-01-14,Middle East,3.454239684537971,Bahrain,Palestine,0.0,False
2018-01-08/2018-01-14,Middle East,3.454239684537971,Bahrain,Qatar,0.0,False
2018-01-08/2018-01-14,Middle East,3.454239684537971,Bahrain,Saudi Arabia,1.0,False
2018-01-08/2018-01-14,Middle East,3.454239684537971,Bahrain,Syria,0.0,False
2018-01-08/2018-01-14,Middle East,3.454239684537971,Bahrain,Turkey,0.18,True
2018-01-08/2018-01-14,Middle East,3.454239684537971,Bahrain,Yemen,0.0,False
2018-01-08/2018-01-14,Middle East,3.454239684537971,Iran,Iraq,0.0,False
2018-01-08/2018-01-14,Middle East,3.454239684537971,Iran,Israel,1.0,False
2018-01-08/2018-01-14,Middle East,3.454239684537971,Iran,Jordan,1.0,False
2018-01-08/2018-01-14,Middle East,3.454239684537971,Iran,Kuwait,0.0,False
2018-01-08/2018-01-14,Middle East,3.454239684537971,Iran,Lebanon,1.0,False
2018-01-08/2018-01-14,Middle East,3.454239684537971,Iran,Palestine,0.0,False
2018-01-08/2018-01-14,Middle East,3.454239684537971,Iran,Qatar,0.0,False
