week,region,entropy,countryI,countryJ,flipProbability,hdiOverlap,entropyReliable
2018-01-01/2018-01-07,Northern Africa,2.598302565181916,Algeria,Egypt,0.5225,True,True
2018-01-01/2018-01-07,Northern Africa,2.598302565181916,Algeria,Libya,0.4925,True,True
2018-01-01/2018-01-07,Northern Africa,2.598302565181916,Algeria,Morocco,0.9725,True,True
2018-01-01/2018-01-07,Northern Africa,2.598302565181916,Algeria,Sudan,0.055,True,True
2018-01-01/2018-01-07,Northern Africa,2.598302565181916,Algeria,Tunisia,1.0,False,True
2018-01-01/2018-01-07,Northern Africa,2.598302565181916,Egypt,Libya,0.475,True,True
2018-01-01/2018-01-07,Northern Africa,2.598302565181916,Egypt,Morocco,0.975,True,True
2018-01-01/2018-01-07,Northern Africa,2.598302565181916,Egypt,Sudan,0.0525,True,True
2018-01-01/2018-01-07,Northern Africa,2.598302565181916,Egypt,Tunisia,1.0,False,True
2018-01-01/2018-01-07,Northern Africa,2.598302565181916,Libya,Morocco,0.9625,True,True
2018-01-01/2018-01-07,Northern Africa,2.598302565181916,Libya,Sudan,0.08,True,True
2018-01-01/2018-01-07,Northern Africa,2.598302565181916,Libya,Tunisia,1.0,False,True
2018-01-01/2018-01-07,Northern Africa,2.598302565181916,Morocco,Sudan,0.0,False,True
2018-01-01/2018-01-07,Northern Africa,2.598302565181916,Morocco,Tunisia,0.9925,False,True
2018-01-01/2018-01-07,Northern Africa,2.598302565181916,Sudan,Tunisia,1.0,False,True
2018-01-08/2018-01-14,Northern Africa,1.9597697525734104,Algeria,Egypt,0.85,True,True
2018-01-08/2018-01-14,Northern Africa,1.9597697525734104,Algeria,Libya,0.0,False,True
2018-01-08/2018-01-14,Northern Africa,1.9597697525734104,Algeria,Morocco,0.9025,True,True
2018-01-08/2018-01-14,Northern Africa,1.9597697525734104,Algeria,Sudan,0.005,False,True
2018-01-08/2018-01-14,Northern Africa,1.9597697525734104,Algeria,Tunisia,0.0,False,True
2018-01-08/2018-01-14,Northern Africa,1.9597697525734104,Egypt,Libya,0.0,False,True
2018-01-08/2018-01-14,Northern Africa,1.9597697525734104,Egypt,Morocco,0.625,True,True
2018-01-08/2018-01-14,Northern Africa,1.9597697525734104,Egypt,Sudan,0.0,False,True
2018-01-08/2018-01-14,Northern Africa,1.9597697525734104,Egypt,Tunisia,0.0,False,True
2018-01-08/2018-01-14,Northern Africa,1.9597697525734104,Libya,Morocco,1.0,False,True
2018-01-08/2018-01-14,Northern Africa,1.9597697525734104,Libya,Sudan,0.615,True,True
2018-01-08/2018-01-14,Northern Africa,1.9597697525734104,Libya,Tunisia,0.0,False,True
2018-01-08/2018-01-14,Northern Africa,1.9597697525734104,Morocco,Sudan,0.0,False,True
2018-01-08/2018-01-14,Northern Africa,1.9597697525734104,Morocco,Tunisia,0.0,False,True
2018-01-08/2018-01-14,Northern Africa,1.9597697525734104,Sudan,Tunisia,0.0,False,True
2018-01-15/2018-01-21,Northern Africa,2.198910037750384,Algeria,Egypt,1.0,False,True
2018-01-15/2018-01-21,Northern Africa,2.198910037750384,Algeria,Libya,0.69,True,True
2018-01-15/2018-01-21,Northern Africa,2.198910037750384,Algeria,Morocco,1.0,False,True
2018-01-15/2018-01-21,Northern Africa,2.198910037750384,Algeria,Sudan,0.9775,True,True
2018-01-15/2018-01-21,Northern Africa,2.198910037750384,Algeria,Tunisia,0.34,True,True
2018-01-15/2018-01-21,Northern Africa,2.198910037750384,Egypt,Libya,0.0,False,True
2018-01-15/2018-01-21,Northern Africa,2.198910037750384,Egypt,Morocco,0.9175,True,True
2018-01-15/2018-01-21,Northern Africa,2.198910037750384,Egypt,Sudan,0.035,True,True
2018-01-15/2018-01-21,Northern Africa,2.198910037750384,Egypt,Tunisia,0.0,False,True
2018-01-15/2018-01-21,Northern Africa,2.198910037750384,Libya,Morocco,1.0,False,True
2018-01-15/2018-01-21,Northern Africa,2.198910037750384,Libya,Sudan,0.9475,True,True
2018-01-15/2018-01-21,Northern Africa,2.198910037750384,Libya,Tunisia,0.175,True,True
2018-01-15/2018-01-21,Northern Africa,2.198910037750384,Morocco,Sudan,0.0,False,True
2018-01-15/2018-01-21,Northern Africa,2.198910037750384,Morocco,Tunisia,0.0,False,True
2018-01-15/2018-01-21,Northern Africa,2.198910037750384,Sudan,Tunisia,0.0075,True,True
2018-01-22/2018-01-28,Northern Africa,2.5071108140425,Algeria,Egypt,0.9875,True,True
2018-01-22/2018-01-28,Northern Africa,2.5071108140425,Algeria,Libya,0.1225,True,True
2018-01-22/2018-01-28,Northern Africa,2.5071108140425,Algeria,Morocco,1.0,False,True
2018-01-22/2018-01-28,Northern Africa,2.5071108140425,Algeria,Sudan,0.985,True,True
2018-01-22/2018-01-28,Northern Africa,2.5071108140425,Algeria,Tunisia,0.785,True,True
2018-01-22/2018-01-28,Northern Africa,2.5071108140425,Egypt,Libya,0.0,False,True
2018-01-22/2018-01-28,Northern Africa,2.5071108140425,Egypt,Morocco,0.9375,True,True
2018-01-22/2018-01-28,Northern Africa,2.5071108140425,Egypt,Sudan,0.5225,True,True
2018-01-22/2018-01-28,Northern Africa,2.5071108140425,Egypt,Tunisia,0.0675,True,True
2018-01-22/2018-01-28,Northern Africa,2.5071108140425,Libya,Morocco,1.0,False,True
2018-01-22/2018-01-28,Northern Africa,2.5071108140425,Libya,Sudan,1.0,False,True
2018-01-22/2018-01-28,Northern Africa,2.5071108140425,Libya,Tunisia,0.9775,True,True
2018-01-22/2018-01-28,Northern Africa,2.5071108140425,Morocco,Sudan,0.075,True,True
2018-01-22/2018-01-28,Northern Africa,2.5071108140425,Morocco,Tunisia,0.0075,False,True
2018-01-22/2018-01-28,Northern Africa,2.5071108140425,Sudan,Tunisia,0.085,True,True
2018-01-29/2018-02-04,Northern Africa,1.437584495308115,Algeria,Egypt,0.9575,True,True
2018-01-29/2018-02-04,Northern Africa,1.437584495308115,Algeria,Libya,0.01,True,True
2018-01-29/2018-02-04,Northern Africa,1.437584495308115,Algeria,Morocco,1.0,False,True
2018-01-29/2018-02-04,Northern Africa,1.437584495308115,Algeria,Sudan,0.995,False,True
2018-01-29/2018-02-04,Northern Africa,1.437584495308115,Algeria,Tunisia,0.0075,True,True
2018-01-29/2018-02-04,Northern Africa,1.437584495308115,Egypt,Libya,0.0,False,True
2018-01-29/2018-02-04,Northern Africa,1.437584495308115,Egypt,Morocco,1.0,False,True
2018-01-29/2018-02-04,Northern Africa,1.437584495308115,Egypt,Sudan,0.785,True,True
2018-01-29/2018-02-04,Northern Africa,1.437584495308115,Egypt,Tunisia,0.0,False,True
2018-01-29/2018-02-04,Northern Africa,1.437584495308115,Libya,Morocco,1.0,False,True
2018-01-29/2018-02-04,Northern Africa,1.437584495308115,Libya,Sudan,1.0,False,True
2018-01-29/2018-02-04,Northern Africa,1.437584495308115,Libya,Tunisia,0.305,True,True
2018-01-29/2018-02-04,Northern Africa,1.437584495308115,Morocco,Sudan,0.01,False,True
2018-01-29/2018-02-04,Northern Africa,1.437584495308115,Morocco,Tunisia,0.0,False,True
2018-01-29/2018-02-04,Northern Africa,1.437584495308115,Sudan,Tunisia,0.0,False,True
